file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_CS-L-2018_2018_2017-M_M_M-D_D_D-B02_B02_B02-1_1_1-R_R_R-01_0144_1140639_to_1146800,ང་ཚོ་ཕར་འགྲོ་སོང་ད། ཁོང་ཚོ་ཧང་ཁོ་ར་སང་རེད་ད། ང་ཚོ་སྐད་ཆ་བཤད་ནས་བསྡད་བསྡད་ཡིན།  ,nga tsho phar 'gro song da/_khong tsho hang kho ra sang red da/_nga tsho skad cha bshad nas bsdad bsdad yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2018_2018_2017-M_M_M-D_D_D-B02_B02_B02-1_1_1-R_R_R-01_0144_1140639_to_1146800.wav,STT_CS,3,79,6.161,wav16k/STT_CS-L-2018_2018_2017-M_M_M-D_D_D-B02_B02_B02-1_1_1-R_R_R-01_0144_1140639_to_1146800.wav,ང་ཚོ་ཕར་འགྲོ་སོང་ད། ང་ཚོ་ཧ་ཁོ་རང་ས་རེད་ད། ང་ཚོ་སྐད་ཆ་བཤད་ནས་བསྡད་བསྡད་ད།
STT_NS_M0479_0292_1986595_to_1994769,ག་ལབ་དགོས་རེད། མུ་མཐུད་ནས་བྱེད་བསྡད་ཀི་རཱ། སོ་སོ་གི་གད་སྙིགས་གཡུག་ཡ་ཡིན་པ་ཡིན་ན་རེད། ག་རེ་ཡིན་པ་ཡིན་ན་སོ་སོ་གིས་མུ་མཐུད་ནས་བྱེད་བསྡད་ཡོད་དུས་ཙམ་པ་ལ་གོ་རྟོགས་ཡོད་ན་ཡང་གལ་སྲིད་སོ་སོ་གིས་ད།  ,ga lab dgos red/_mu mthud nas byed bsdad ki rA/_so so gi gad snyigs g.yug ya yin pa yin na red/_ga re yin pa yin na so so gis mu mthud nas byed bsdad yod dus tsam pa la go rtogs yod na yang gal srid so so gis da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0479_0292_1986595_to_1994769.wav,STT_NS,3,188,8.174,wav16k/STT_NS_M0479_0292_1986595_to_1994769.wav,ག་ལབ་དགོས་རེད། མུ་མཐུད་ནས་བྱེད་བསྡད་ཀི་རཱ། སོ་སོ་གི་གད་སྙིགས་གཡུག་ཡ་ཡིན་པ་ཡིན་ན་རེད། ག་རེ་ཡིན་པ་ཡིན་ན་སོ་སོ་གིས་མུ་མཐུད་ནས་བྱེད་བསྡད་ཡོད་དུས་ཙམ་པ་ལ་གོ་རྟོགས་ཡོད་ནས་ཡང་གལ་སྲིད་སོ་སོ་གིས་ད།
STT_NS_M0479_0294_2002551_to_2006203,ང་ཚོ་གི་འཛམ་གླིང་གི་གནས་སྟངས་དེ་ད་ཡ་ཡུད་སེམས་པ་སྐྱོ་བོ་ཅིག་སླེབས་ཚར་འདུག་རཱ།  ,nga tsho gi 'dzam gling gi gnas stangs de da ya yud sems pa skyo bo cig slebs tshar 'dug rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0479_0294_2002551_to_2006203.wav,STT_NS,3,78,3.652,wav16k/STT_NS_M0479_0294_2002551_to_2006203.wav,ང་ཚོ་གི་འཛམ་གླིང་གི་གནས་སྟངས་དེ་ད་ཡ་ཡུད་སེམས་པ་སྐྱོ་བོ་ཅིག་སླེབས་ཚར་འདུག་རཱ།
STT_CS-L-2018_2018_2017-M_M_M-D_D_D-B02_B02_B02-1_1_1-R_R_R-01_0121_904889_to_913747,ཨེ་ནས་ཨེ་འདྲའི་བྱས་བསྡད་ནས་ཡོད་བ། ཨེ་འདྲའི་འདི་ལོ་མ་དེས་བཀབ་རེད་ད་རཱ། ཨེ་ནས་འདི་ལོ་མ་ཡང་བཀབ་རེད་ད་རཱ།  ,e nas e 'dra'i byas bsdad nas yod ba/_e 'dra'i 'di lo ma des bkab red da rA/_e nas 'di lo ma yang bkab red da rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2018_2018_2017-M_M_M-D_D_D-B02_B02_B02-1_1_1-R_R_R-01_0121_904889_to_913747.wav,STT_CS,3,103,8.858,wav16k/STT_CS-L-2018_2018_2017-M_M_M-D_D_D-B02_B02_B02-1_1_1-R_R_R-01_0121_904889_to_913747.wav,ཨ་ནས་ཨེ་འདྲའི་བྱས་བསྡད་ནས་ཡོད་བ། ཨེ་འདྲའི་འདི་ལོ་མ་དེས་བཀབ་རེ་རེད་ད་རཱ། ཨ་ནས་འདི་ལོ་མ་ཡང་བཀབ་རེད་ད་རཱ།
STT_CS-L-2018_2018_2017-M_M_M-D_D_D-B02_B02_B02-1_1_1-R_R_R-01_0123_922606_to_931465,ཨེ་འདྲའི་བྱས་། ཨེ་ནས་ད་བུ་མོ། ཉི་མ་ཆེན་པོ་ཞིག་ཁྱེར་ནས་སླེབས་རེད་ད་རཱ། ང་ལ་སྤྲད་དང་ཡ།  ,e 'dra'i byas /_e nas da bu mo/_nyi ma chen po zhig khyer nas slebs red da rA/_nga la sprad dang ya/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2018_2018_2017-M_M_M-D_D_D-B02_B02_B02-1_1_1-R_R_R-01_0123_922606_to_931465.wav,STT_CS,3,86,8.859,wav16k/STT_CS-L-2018_2018_2017-M_M_M-D_D_D-B02_B02_B02-1_1_1-R_R_R-01_0123_922606_to_931465.wav,ཨེ་འདྲའི་བྱས། ཨ་ནས་དེ་བུ་མོ། ལོ་མ་ཆེན་པོ་ཞིག་འཁྱེར་ནས་སླེབས་རེད་ད་རཱ། ང་ལ་སྤྲད་དང་གཡ་རྒན།
STT_CS-L-2018_2018_2017-M_M_M-D_D_D-B02_B02_B02-1_1_1-R_R_R-01_0124_931465_to_940324,འདི་ལབ་ལབ་དང་། ཨོང་ཨོང་ལབ་རེད་ད། ཨེ་ནས་འདི་ལ་ཅིག་ཧེ་ཧོ་ལབ་རེད་དཱ། ཨེ་ནས་ང་ཚོ་ཚང་མ་དུས་ཨེ་འདྲའི་བྱས་ནས་ཁ་ལག་ཟ་རེད་ད། ཁ་ལག་ཟས།  ,'di lab lab dang /_ong ong lab red da/_e nas 'di la cig he ho lab red dA/_e nas nga tsho tshang ma dus e 'dra'i byas nas kha lag za red da/_kha lag zas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2018_2018_2017-M_M_M-D_D_D-B02_B02_B02-1_1_1-R_R_R-01_0124_931465_to_940324.wav,STT_CS,3,126,8.859,wav16k/STT_CS-L-2018_2018_2017-M_M_M-D_D_D-B02_B02_B02-1_1_1-R_R_R-01_0124_931465_to_940324.wav,་པ་ལབས་ལབ་རེད་ད། འོ་ཨོ་ལབ་རེད་ད། ཨ་ནས་འདི་ལ་གཅིག་ཡོད་བ་ལབ་རེད་ད་རཱ། ཨ་ནས་ང་ཚོ་ཚང་མ་དི་ཨེ་འདྲའི་བྱས། ཁ་ལག་བཟོས་རེད་ད། ཁ་ལག་བཟོས།
STT_CS-L-2018_2018_2017-M_M_M-D_D_D-B02_B02_B02-1_1_1-R_R_R-01_0133_1043660_to_1049001,ཨེ་ནས་ཚྭ་བླུགས་རེད། ཨེ་ནས་ཚྭ་བླུགས་ཚར་དུས་སྐབས་སུ་ཡོད་བ། ཨེ་ནས་ང་ཚོ་ཁ་ལག་ཟ་ཚར་རེད། ད་ང་ཡིས་ཁྱོད་ལ་མཱཡེཁྀ་བསྒར་དགོས།  ,e nas tshwa blugs red/_e nas tshwa blugs tshar dus skabs su yod ba/_e nas nga tsho kha lag za tshar red/_da nga yis khyod la mAyekh-i bsgar dgos/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2018_2018_2017-M_M_M-D_D_D-B02_B02_B02-1_1_1-R_R_R-01_0133_1043660_to_1049001.wav,STT_CS,3,117,5.341,wav16k/STT_CS-L-2018_2018_2017-M_M_M-D_D_D-B02_B02_B02-1_1_1-R_R_R-01_0133_1043660_to_1049001.wav,ཨ་ནས་ཚྭ་བླུག་རེད། ཨ་ནས་ཚར་བླུགས་ཚ་དུས་སྐབས་སུ་ཡོད་བ། ཨ་ནས་ང་ཚོ་ཁ་ལག་ཟ། ད་ང་ཁྱོད་ལ་མཱཡེཁྀ་བསྒར་དགོས།
STT_CS-L-2018_2018_2017-M_M_M-D_D_D-B02_B02_B02-1_1_1-R_R_R-01_0138_1085965_to_1092264,གདོན་འདྲེའི་སྒྲུང་བཤད་ག རྫུན་མ་རྫུན་མ་ཀ་ཅི་གདོན་འདྲེ། རྨོ་མོ་ཀ་ཅི་སྒྲུང་བཤད་དགོས། སྔན་མ་སྔན་མ།  ,gdon 'dre'i sgrung bshad ga_rdzun ma rdzun ma ka ci gdon 'dre/_rmo mo ka ci sgrung bshad dgos/_sngan ma sngan ma/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2018_2018_2017-M_M_M-D_D_D-B02_B02_B02-1_1_1-R_R_R-01_0138_1085965_to_1092264.wav,STT_CS,3,96,6.299,wav16k/STT_CS-L-2018_2018_2017-M_M_M-D_D_D-B02_B02_B02-1_1_1-R_R_R-01_0138_1085965_to_1092264.wav,གདོན་འདྲེ་སྒྲུང་བཤད་ཡག། རྫུན་མ་རྫུན་མ་སོངགདོན་འདྲེ། མོག་མོག་ཀ་ཅི་སྒྲུང་བཤད་དགོས། སྔོན་མ་སྔོན་མ།
STT_CS-L-2018_2018_2017-M_M_M-D_D_D-B02_B02_B02-1_1_1-R_R_R-01_0142_1112752_to_1121750,གསང་སྤྱོད་ནང་ལ་འགྲོ་རེད་ད། ཚེ་ལྷ་ཡང་གསང་སྤྱོད་ནང་འགྲོ་ཡ་ཡིན་ལབ་ནས་གསང་སྤྱོད་ནང་ལ་འགྲོ་རཱ། ཨེ་ནས་རྗེས་ལ་ཡོད་བ། ང་ང་གསང། ང་ཡང་གསང་སྤྱོད་ ,gsang spyod nang la 'gro red da/_tshe lha yang gsang spyod nang 'gro ya yin lab nas gsang spyod nang la 'gro rA/_e nas rjes la yod ba/_nga nga gsang/_nga yang gsang spyod _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2018_2018_2017-M_M_M-D_D_D-B02_B02_B02-1_1_1-R_R_R-01_0142_1112752_to_1121750.wav,STT_CS,3,135,8.998,wav16k/STT_CS-L-2018_2018_2017-M_M_M-D_D_D-B02_B02_B02-1_1_1-R_R_R-01_0142_1112752_to_1121750.wav,གསང་སྤྱོད་ནང་འགྲོ་རེད་ད། ཚེ་ལྷ་ཡང་གསང་སྤྱོད་ནང་འགྲོ་ཡིན་ལབ་ནས་གསང་སྤྱོད་ནང་འགྲོ་རཱ། ཨ་ནས་རྗེས་ལ་ཡོད་བ། ང་ང་གསང་། ང་ཡང་གསང་སྤྱོད། ང་།
STT_NS_M0479_0295_2007124_to_2010213,ཨེ་ནས་སེམས་པ་སྐྱོ་བོ་ལབ་དུས་ཙམ་པ་ལ་ད།  ,e nas sems pa skyo bo lab dus tsam pa la da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0479_0295_2007124_to_2010213.wav,STT_NS,3,39,3.089,wav16k/STT_NS_M0479_0295_2007124_to_2010213.wav,ཨེ་ནས་སེམས་པ་སྐྱོ་བོ་ལབ་དུས་ཙམ་པ་ལ་ད།
STT_NS_M0479_0305_2080320_to_2082515,ད་གནས་སྟངས་འདི་ད་ཨེ་འདྲའི་འདྲ་བོ་ཅིག་ཆགས་བསྡད་ཡོད་རེད་ཟེར།  ,da gnas stangs 'di da e 'dra'i 'dra bo cig chags bsdad yod red zer/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0479_0305_2080320_to_2082515.wav,STT_NS,3,60,2.195,wav16k/STT_NS_M0479_0305_2080320_to_2082515.wav,ད་གནས་སྟངས་འདི་ད་ཨེ་འདྲའི་འདྲ་བོ་ཅིག་ཆགས་བསྡད་ཡོད་རེད་ཟེར།
